Node_Id	x_coord	y_coord
44536	429707.503	4582818.307
54782	432197.728	4581907.419
44543	429839.564	4582818.663
46592	431849.318	4581581.93
44548	429978.288	4582819.469
54789	431048.383	4581260.663
54792	431848.761	4581442.028
46601	431719.987	4581450.287
44555	430147.374	4582818.982
46607	432003.766	4582047.016
44563	428499.846	4582682.759
54806	430915.455	4581302.79
44570	428631.896	4582680.902
54811	430779.637	4581344.25
54815	430645.179	4581447.13
46624	432131.953	4582819.208
44577	428768.529	4582681.82
54820	430619.568	4581396.469
44582	428900.841	4582680.622
45742	429036.505	4581877.238
54826	430510.536	4581443.569
44589	429034.66	4582677.417
44592	429170.717	4582681.561
46641	432261.677	4582952.548
54837	429096.556	4580685.253
44599	429302.17	4582681.958
44604	429463.809	4582680.588
46654	430177.081	4581555.516
44609	429572.824	4582683.165
46660	429835.209	4581727.289
46663	429571.856	4581583.527
44616	429709.801	4582683.272
54858	428750.734	4581038.017
46668	428228.661	4582676.524
44623	429839.057	4582681.749
46673	429973.374	4582949.611
44628	429975.209	4582682.135
46678	428365.441	4581753.941
54874	428463.204	4581306.953
44635	430154.03	4582682.119
46685	428498.87	4581705.816
46692	428633.879	4581752.719
54885	428220.136	4581577.829
44647	430362.47	4582687.785
46699	428767.849	4581704.844
46705	428900.796	4581751.706
44658	430508.463	4582681.35
45331	429172.836	4582221.264
26228	430161.78	4582882.693
45405	429172.568	4582145.511
46712	429036.072	4581751.974
44665	430777.927	4582684.617
46719	429170.931	4581706.137
44672	430912.538	4582683.896
46725	429304.074	4581752.849
44679	431048.361	4582683.615
46732	429438.131	4581706.212
44686	431871.805	4582684.827
46738	429572.785	4581752.562
44693	432001.475	4582683.222
46745	429827.715	4581705.08
46751	429976.326	4581750.052
44710	431874.342	4582950.611
19399	431996.64	4581185.267
44717	431873.944	4582819.559
44724	432002.117	4582948.793
40633	428088.673	4582416.397
46778	431047.617	4581751.776
44731	432003.138	4582820.153
40636	428091.927	4582020.172
54975	427958.323	4581712.829
46785	431213.185	4581757.612
44738	428230.921	4582547.645
54979	427984.758	4581705.006
54981	428087.205	4581692.199
44743	428364.551	4582542.003
44746	428499.084	4582549.107
54989	428068.082	4581780.028
44753	428633.779	4582548.606
54994	427999.75	4581748.661
44758	428768.496	4582549.395
46808	431719.821	4581750.064
44765	428901.573	4582547.411
21115	430077.123	4582974.712
44772	429033.796	4582547.356
23505	431718.414	4582951.589
46825	431315.839	4582302.656
44779	429169.064	4582547.919
46832	431047.936	4582486.632
45352	429436.846	4582147.61
44786	429304.626	4582547.587
48883	428051.055	4582599.833
46839	430913.891	4582504.694
41113	429705.834	4583083.603
44793	429442.889	4582547.678
46846	430778.745	4582621.652
44800	429572.58	4582548.054
46853	430562.122	4582684.43
44807	429708.2	4582547.304
46857	430508.332	4582731.81
44814	429840.593	4582547.075
46863	430333.392	4582685.711
44821	429976.558	4582548.605
46870	430368.534	4582551.268
44828	430156.436	4582550.051
46877	430364.495	4582418.677
46884	430321.502	4582282.958
44838	430512.455	4582550.643
26410	431719.266	4582686.624
46891	430312.2	4582014.245
44845	430647.932	4582550.763
45704	428235.979	4581873.866
46898	430345.82	4581881.085
44852	430778.34	4582598.253
45364	428366.751	4582145.661
44858	430775.161	4582550.715
44862	431048.154	4582549.509
46911	431450.981	4582231.56
49120	429015.237	4583292.878
44869	431162.163	4582551.321
46918	431361.798	4582279.048
45412	429572.735	4582147.26
73547	427855.855	4581714.814
44877	431316.95	4582552.009
41613	430511.731	4581576.985
46931	428096.74	4582157.778
44884	431450.835	4582551.289
46937	428097.913	4581885.496
44891	431585.206	4582549.817
46944	428553.067	4582407.161
44898	431718.828	4582548.15
46947	431715.136	4582148.031
44905	431872.266	4582550.496
41618	430778.78	4581579.295
46961	431658.609	4582143.63
44916	432000.513	4582548.236
46966	431720.47	4582111.149
69623	428340.287	4581708.321
42875	430097.42	4581332.201
20349	431180.864	4581446.699
42879	430138.484	4581327.309
44930	428902.014	4582414.938
42886	429704.023	4581631.539
44937	429035.341	4582414.165
42890	429747.283	4581646.286
42893	429744.167	4581660.527
42896	429834.4	4581661.734
42903	429885.819	4581587.53
42906	429974.267	4581500.114
44958	429708.275	4582414.838
45756	429304.868	4581879.16
44965	429840.369	4582414.061
44972	429975.947	4582416.509
46066	429034.381	4581580.299
44979	429172.597	4582412.642
44986	429305.133	4582413.748
44993	430158.533	4582417.944
41633	431046.298	4581442.72
45003	430512.308	4582415.731
49104	428896.729	4583213.571
45010	430646.747	4582416.29
49107	429031.399	4583299.525
46414	431449.495	4581580.568
49110	428952.063	4583253.034
46073	429170.257	4581580.633
45017	430779.906	4582414.725
49118	428873.332	4583198.818
45024	430914.228	4582415.82
49122	428975.574	4583313.693
49124	428810.534	4583206.621
46758	430510.517	4581752.031
45031	428231.174	4582476.593
45735	428899.842	4581878.013
49149	428746.581	4583182.149
45041	428364.909	4582439.304
40948	429034.189	4583140.672
40951	428977.011	4583224.256
40954	428497.174	4582871.031
45053	428500.636	4582404.945
49151	428758.008	4583168.784
69121	429540.505	4581384.891
69123	429599.712	4581434.69
69125	432383.668	4583134.206
69127	432262	4583167.939
69130	431719.371	4583146.345
69132	431484.932	4582945.973
69134	432327.378	4581318.856
69293	427938.211	4581989.064
69136	432226.975	4581196.157
69138	429304.497	4580511.505
69140	429089.879	4580557.429
56342	431774.393	4581912.681
69144	429344.908	4583472.91
69117	431786.566	4580860.734
55838	429663.504	4582844.213
69152	432805.383	4581692.574
69167	432520.004	4581419.077
69154	431725.082	4580892.038
57891	430364.34	4581150.309
69156	429288.684	4581020.591
69158	429399.279	4581287.258
69160	432861.844	4581519.24
69305	432655.823	4582722.107
69162	429875.451	4583236.052
69629	431616.809	4582919.073
69165	431830.892	4580867.681
57693	428305.498	4582353.235
57904	428957.847	4582770.768
69169	428910.046	4583541.152
69171	428938.2	4583565.571
69173	430404.148	4583006.97
69175	428308.498	4582925.298
69177	429348.384	4583389.482
55866	428572.565	4581524.626
69180	429441.867	4583438.701
69182	430121.582	4583080.441
69184	432763.134	4581693.845
69186	432684.36	4581892.62
69188	431203.274	4582997.979
69190	431317.194	4582833.376
69192	431384.814	4582840.087
69194	431573.637	4582804.719
69196	430882.479	4582911.529
56910	429250.511	4582343.024
69199	430584.085	4582995.067
69201	430481.722	4583008.715
69203	430281.405	4583052.855
72788	430941.539	4582580.985
69205	430177.883	4583067.829
55894	429367.527	4582754.409
69207	431555.014	4582853.408
69209	430345.815	4583049.745
69211	427948.103	4582414.396
69213	427937.709	4582067.118
69215	429501.232	4583418.792
69217	429140.492	4583648.391
69219	431445.824	4580874.2
69221	431688.7	4580909.477
69223	432684.921	4582955.981
69225	432720.23	4582280.156
69227	432688.614	4582010.943
69229	427883.884	4581342.119
69232	427904.101	4581955.08
69234	428252.604	4582960.115
55924	431510.52	4581390.804
69238	428024.832	4582711.495
73577	431143.061	4582473.498
69241	428459.447	4581005.793
69243	428551.713	4581041.879
69246	428762.702	4580893.325
69248	428798.733	4580891.461
69250	428790.074	4580759.951
56451	431923.044	4582888.018
69252	428817.265	4580649.955
69142	429303.746	4580626.398
69254	429043.895	4580582.285
69256	431127.032	4581078.268
56458	432032.18	4582094.401
69260	429342.711	4581267.15
69262	430347.589	4581188.095
69264	430426.177	4581180.888
69266	430561.538	4581124.587
69268	429776.523	4581577.279
69270	429822.983	4581489.863
69272	429661.339	4581469.032
69060	432000.868	4583155.052
69274	430970.915	4581149.874
69276	431220.662	4580983.582
55966	430223.259	4582631.244
69280	429236.965	4580479.827
69283	431872.931	4583142.385
69285	432415.72	4583115.649
69287	432129.102	4583161.075
69289	432384.892	4583120.449
69291	427955.578	4582197.672
58029	428934.111	4582402.197
69295	428739.243	4583367.304
57008	429986.659	4581402.653
69297	428857.336	4583418.504
69105	431159.875	4582996.669
69301	428360.689	4581244.067
69303	427762.66	4581772.788
69236	427912.279	4582696.242
69307	432698.494	4582660.472
56508	430247.806	4581591.843
69309	432407.813	4581387.978
69311	432374.912	4581321.086
69313	432118.18	4581116.869
69315	432047.62	4581073.544
69317	429745.309	4583320.676
69319	429832.212	4583231.945
69321	428608.695	4583208.873
69323	428544.585	4583180.473
69325	428471.601	4583143.681
69069	428405.867	4581174.116
69299	428240.14	4581348.896
56535	430653.262	4581955.05
57562	428423.235	4582644.591
69327	428350.513	4583088.714
56540	432322.929	4582889.089
56699	429268.255	4583120.26
57061	429366.846	4581953.317
69073	428638.077	4580924.063
69278	430040.782	4581223.225
69077	428823.1	4580571.316
56581	430805.356	4581168.745
56588	430865.531	4581532.349
57104	429947.242	4581460.432
73575	431596.425	4582163.619
56603	429819.383	4582354.403
68997	432709.812	4582409.678
57642	428048.51	4581524.776
58160	430896.498	4581095.164
69258	429284.096	4580662.685
69003	429250.992	4581154.292
56134	431732.649	4582483.55
69089	428303.286	4583003.457
68938	432659.637	4582816.189
68940	429469.216	4581356.809
68942	429691.415	4583337.678
68945	429926.63	4581352.346
57171	429402.046	4581552.929
68949	430938.537	4581106.159
68951	432646.286	4581914.22
68953	430536.678	4583006.211
68955	431050.437	4582926.379
68957	431273.439	4582828.769
68959	430758.108	4582916.262
68961	430632.051	4582975.996
68963	431458.164	4582816.041
68965	430095.36	4583099.947
68967	432023.364	4581013.207
68969	432130.014	4581143.219
68981	432417.231	4581427.981
68984	432669.06	4581412.607
68987	432857.112	4581584.42
68989	431587.108	4580875.425
68991	432523.505	4583135.037
68994	432706.868	4582536.491
56197	432248.789	4582482.136
68999	428074.242	4582893.988
69001	429273.081	4580930.721
57227	430120.505	4581983.491
69005	429809.711	4581516.565
69008	430462.157	4581295.775
69010	430954.13	4581167.624
69012	431313.646	4580875.245
69015	430131.097	4581175.385
69017	430565.971	4581204.566
